p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
p,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,p
p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p
p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p
p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p
p,-,-,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,-,-,-,p
p,-,-,x,-,-,-,-,-,-,-,p,-,p,-,-,-,-,-,-,x,-,-,-,p
p,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-,-,p
p,-,-,x,-,-,-,-,-,p,-,-,-,-,-,p,-,-,-,-,x,-,-,-,p
p,-,-,x,-,-,-,-,-,p,-,-,-,-,-,p,-,-,-,-,x,-,-,-,p
p,-,-,x,-,-,-,-,-,-,p,p,p,p,p,-,-,-,-,-,x,-,-,-,p
p,s,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-,g,p
p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
