p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
p,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p
p,p,p,p,-,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,-,p
p,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,p
p,-,p,p,p,p,-,p,p,p,p,p,p,p,p,p,p,p,p,-,p,-,-,-,p
p,-,p,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,p,-,-,-,p,-,p
p,-,p,-,p,p,p,p,-,p,p,p,p,p,p,p,p,-,p,p,p,p,p,-,p
p,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,p,-,p
p,-,p,p,p,p,p,p,p,p,p,p,p,p,-,p,p,p,p,p,p,-,p,p,p
p,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,p
p,p,p,p,p,p,p,p,p,-,p,p,p,p,p,p,p,p,p,p,p,p,p,-,p
p,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,p
p,p,p,p,p,p,p,p,-,-,-,p,p,p,p,p,p,p,p,p,-,-,-,p,p
