p,p,p,p,p,p,p,p,p,p,p,p,p,-,p,p,p,-,-,-,-,-,-,-,-
p,s,-,-,a,y,-,-,-,-,-,-,p,-,p,-,-,-,-,-,-,-,-,-,-
p,p,-,-,a,-,-,-,-,-,-,-,p,-,p,p,p,-,-,-,-,-,-,-,-
p,a,-,-,a,-,-,-,-,-,-,-,p,-,p,-,-,-,-,p,-,-,-,-,-
p,a,-,-,a,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,p,-,-,-,-
p,a,-,-,-,a,-,-,-,-,-,-,p,-,p,-,-,-,-,-,-,p,-,p,-
p,a,-,-,-,-,a,-,-,-,-,-,p,-,p,-,-,-,-,-,-,-,p,p,-
p,-,a,-,-,-,-,a,-,-,-,-,p,-,p,p,p,-,-,-,-,p,p,p,-
p,-,-,a,-,-,-,-,a,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-
p,-,-,-,a,-,-,-,-,a,-,-,p,-,p,-,p,-,-,-,-,-,-,-,-
p,-,-,-,-,-,-,-,-,-,-,-,p,-,p,p,p,-,-,-,-,-,-,-,-
p,-,-,-,a,-,-,-,-,-,-,g,p,-,-,p,-,-,-,-,-,-,-,-,-
p,p,p,p,p,-,-,-,-,-,p,p,p,-,-,p,-,-,-,-,-,-,-,-,-
