p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p
p,-,-,-,-,-,-,-,-,-,-,-,-,f,-,f,-,f,-,f,-,f,-,g,p
p,-,p,a,x,p,a,x,p,a,x,p,p,p,p,p,p,p,p,p,p,p,p,p,p
p,-,-,r,-,-,r,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p
p,-,-,h,-,-,r,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p
p,-,-,a,-,-,a,-,-,a,-,-,-,a,-,-,a,-,-,a,-,-,-,-,p
p,p,p,p,p,p,p,p,p,p,p,p,x,a,p,x,a,p,p,a,p,p,p,-,p
p,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p
p,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p
p,-,-,x,-,-,-,-,-,-,-,-,a,a,-,-,-,a,a,-,-,-,-,-,p
p,s,-,x,-,-,-,f,-,-,-,-,x,x,f,f,f,x,x,-,-,-,-,-,p
p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,x,f,x,a,p,p
