p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
p,p,p,-,p,p,p,-,-,-,-,-,-,-,-,-,-,-,p,p,p,-,p,p,p
p,p,-,-,-,p,p,-,-,-,-,-,-,-,-,-,-,-,p,p,-,-,-,p,p
p,p,-,-,-,p,p,-,-,-,-,-,-,-,-,-,-,-,p,p,-,-,-,p,p
p,p,p,-,p,p,p,-,-,-,-,-,-,-,-,-,-,-,p,p,p,-,p,p,p
p,p,p,p,p,p,p,f,f,f,f,f,f,f,f,f,f,f,p,p,p,p,p,p,p
p,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p
p,-,-,-,-,-,-,-,-,-,p,p,p,p,p,-,-,-,-,-,-,-,-,-,p
p,-,-,-,-,-,p,p,p,p,p,p,p,p,p,p,p,p,p,-,-,-,-,-,p
p,g,-,x,x,x,p,-,-,-,-,-,-,-,-,-,-,-,p,x,x,x,-,-,p
p,p,p,p,p,p,p,-,-,-,-,-,-,-,-,-,-,-,p,p,p,p,p,-,p
p,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p
p,p,p,p,p,p,p,p,p,x,x,x,x,x,x,x,p,p,p,p,p,p,p,p,p
